row_id,pred_1,pred_2,pred_3
35998,True_Correct:NA,True_Neither:NA,True_Misconception:Incomplete
27979,False_Neither:NA,False_Misconception:Subtraction,False_Misconception:Mult
16680,True_Correct:NA,True_Neither:NA,True_Misconception:Mult
20993,True_Neither:NA,True_Correct:NA,True_Misconception:Additive
20989,True_Neither:NA,True_Correct:NA,True_Misconception:Duplication
3698,False_Misconception:Incomplete,False_Neither:NA,False_Correct:NA
14471,True_Correct:NA,True_Neither:NA,True_Misconception:Mult
24709,True_Neither:NA,True_Correct:NA,False_Neither:NA
14543,True_Correct:NA,True_Neither:NA,True_Misconception:Mult
25170,True_Correct:NA,True_Neither:NA,True_Misconception:Mult
2135,True_Correct:NA,True_Neither:NA,True_Misconception:Incomplete
26595,True_Correct:NA,True_Neither:NA,True_Misconception:Wrong_fraction
3074,False_Neither:NA,False_Misconception:Incomplete,False_Misconception:WNB
17899,True_Neither:NA,True_Correct:NA,True_Misconception:Additive
13659,True_Correct:NA,True_Neither:NA,True_Misconception:Irrelevant
13458,True_Correct:NA,True_Neither:NA,True_Misconception:Irrelevant
26902,True_Neither:NA,True_Misconception:Division,True_Correct:NA
10398,True_Correct:NA,True_Neither:NA,True_Misconception:SwapDividend
17415,True_Correct:NA,True_Neither:NA,True_Misconception:SwapDividend
29436,False_Neither:NA,False_Misconception:Tacking,False_Misconception:Irrelevant
19887,False_Misconception:Whole_numbers_larger,False_Neither:NA,False_Misconception:Shorter_is_bigger
19424,False_Misconception:Inversion,False_Neither:NA,False_Correct:NA
15512,True_Correct:NA,True_Neither:NA,True_Misconception:SwapDividend
26687,True_Neither:NA,True_Correct:NA,False_Neither:NA
26303,False_Misconception:Adding_across,False_Neither:NA,False_Misconception:Denominator-only_change
32474,False_Misconception:Wrong_term,False_Neither:NA,False_Correct:NA
20417,True_Correct:NA,True_Neither:NA,True_Misconception:Incomplete
21232,True_Neither:NA,True_Correct:NA,True_Misconception:SwapDividend
27725,False_Misconception:Subtraction,False_Neither:NA,False_Correct:NA
22994,False_Misconception:Wrong_fraction,False_Neither:NA,True_Misconception:Wrong_fraction
33038,False_Misconception:Wrong_term,False_Correct:NA,False_Neither:NA
993,True_Neither:NA,True_Correct:NA,True_Misconception:WNB
29275,False_Neither:NA,False_Misconception:Definition,False_Misconception:Unknowable
5915,True_Correct:NA,True_Neither:NA,True_Misconception:SwapDividend
19524,False_Misconception:Inversion,False_Neither:NA,False_Misconception:Duplication
7886,False_Neither:NA,False_Misconception:Mult,False_Correct:NA
14602,True_Correct:NA,True_Neither:NA,True_Misconception:SwapDividend
17735,True_Neither:NA,True_Correct:NA,True_Misconception:Inversion
2464,False_Neither:NA,False_Misconception:WNB,False_Misconception:Incomplete
5124,False_Misconception:Mult,False_Neither:NA,False_Misconception:SwapDividend
35156,True_Correct:NA,True_Neither:NA,True_Misconception:Multiplying_by_4
21649,True_Correct:NA,True_Neither:NA,True_Misconception:Duplication
